Subject,Datafile,Label
Subject01,Subject01/Subject01_Aufnahme000.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme001.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme002.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme003.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme004.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme005.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme006.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme007.csv,stand
Subject01,Subject01/Subject01_Aufnahme008.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme009.csv,walk
Subject01,Subject01/Subject01_Aufnahme010.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme011.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme012.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme013.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme014.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme015.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme016.csv,run
Subject01,Subject01/Subject01_Aufnahme017.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme018.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme019.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme020.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme021.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme022.csv,sit
Subject01,Subject01/Subject01_Aufnahme023.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme024.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme025.csv,sit
Subject01,Subject01/Subject01_Aufnahme026.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme027.csv,walk
Subject01,Subject01/Subject01_Aufnahme028.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme029.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme030.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme031.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme032.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme033.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme034.csv,curve-right-step
