Subject,Label,sd_1.EMG1,sd_2.EMG1,sd_3.EMG1,sd_1.EMG2,sd_2.EMG2,sd_3.EMG2,sd_1.EMG3,sd_2.EMG3,sd_3.EMG3,sd_1.EMG4,sd_2.EMG4,sd_3.EMG4,sd_1.ACCupperX,sd_2.ACCupperX,sd_3.ACCupperX,sd_1.ACCupperY,sd_2.ACCupperY,sd_3.ACCupperY,sd_1.ACCupperZ,sd_2.ACCupperZ,sd_3.ACCupperZ,sd_1.ACClowerX,sd_2.ACClowerX,sd_3.ACClowerX,sd_1.GoniometerY,sd_2.GoniometerY,sd_3.GoniometerY,sd_1.Goniometer,sd_2.Goniometer,sd_3.Goniometer,sd_1.GyroupperX,sd_2.GyroupperX,sd_3.GyroupperX,sd_1.GyroupperY,sd_2.GyroupperY,sd_3.GyroupperY,sd_1.GyroupperZ,sd_2.GyroupperZ,sd_3.GyroupperZ,sd_1.GyrolowerX,sd_2.GyrolowerX,sd_3.GyrolowerX,sd_1.GyrolowerY,sd_2.GyrolowerY,sd_3.GyrolowerY,sd_1.GyrolowerZ,sd_2.GyrolowerZ,sd_3.GyrolowerZ,sd_1.Airborne,sd_2.Airborne,sd_3.Airborne
Subject02,curve-left-step,511.9314918,509.630597,207.0129265,1003.544741,941.2462976,619.9719721,295.4987863,207.4338909,155.6724989,536.8998083,558.6920825,251.332857,924.2048485,1112.175024,931.2875007,765.0760139,951.58,1272.679366,1320.16314,1624.143114,993.0431686,2702.808996,2069.020422,3395.950969,155.7002813,206.8904725,185.159655,2408.568686,2649.006944,2269.396417,2945.72093,3886.626473,3257.065988,6908.388311,8583.862496,6144.526464,6570.159693,9141.756843,9677.899949,843.9276791,988.4918605,866.6332434,1239.648189,1468.427778,1425.58887,1386.888044,1635.747905,1259.641148,2264.373846,1376.770428,740.7430691
Subject02,curve-left-step,491.9869397,742.4270032,295.7552803,1007.156302,989.8184783,609.446519,348.2877887,249.1814876,125.1623454,735.9104519,439.4505403,328.3422641,931.9018638,1315.168585,914.5132783,1052.482015,1276.387023,701.1141768,1877.380811,1930.444083,755.4035137,3059.010752,2874.762053,2427.00249,317.7966356,287.6539638,220.6607842,2930.599665,2925.93365,2079.242223,2789.600711,4022.752178,2856.278437,6828.493049,10222.69599,5726.722866,6888.192739,9392.910554,8188.060849,862.8138015,1099.21844,684.1277567,1538.21603,1773.091936,1078.500366,1706.734808,1812.551544,1268.392696,3173.74915,2461.332306,587.5916014
Subject02,stand-to-sit,2397.978619,115.1093616,74.24131071,1357.236387,650.2216298,461.8002528,309.0654951,134.9137076,92.5175008,184.1581344,119.6070979,104.9570892,176.5283909,453.7327694,107.6318436,242.6872393,1412.585068,108.4896691,1363.109458,938.0467455,27.49183445,548.9330256,941.4868425,408.1394994,99.05599831,654.7864051,74.48424302,1947.059099,2894.019708,58.10009268,855.6923767,1169.328085,475.2891478,2909.520338,4873.844195,1511.894853,2810.824471,3064.751179,395.4971888,263.2948624,266.1847154,97.84202514,129.3852204,327.6253823,52.90448879,346.9744587,571.8704433,115.1756231,305.4273227,480.6201377,349.7765682
Subject02,curve-right-spin-Rfirst,1046.123443,506.610565,274.9313565,1012.02456,558.3580989,70.19310667,188.0824442,131.0783673,116.9781602,219.2812266,211.2572747,142.9260528,1008.804034,677.9356093,429.1249653,296.6741317,379.7774459,130.0270685,802.4753585,1287.213628,475.3007322,3814.502158,1672.296531,763.6544681,377.4634234,195.5349459,96.25752998,1159.166839,423.7861845,58.30124555,2042.89967,3284.780493,1005.826648,4331.662139,3864.857729,796.1459586,8967.104415,7704.245179,3160.892516,630.5878471,553.1615934,250.0734076,360.6203756,432.6455196,122.0250051,889.9234126,911.3290189,388.3620356,432.1293668,595.7781791,285.3442632
Subject02,jump-one-leg,3599.597804,1822.009845,551.4760349,843.500472,1222.677784,299.6688003,1315.282382,540.843342,209.439322,1607.974565,1097.106897,476.6327008,1491.097553,3354.627993,2495.517,820.6135133,4103.541112,4160.064951,999.8692924,3284.948389,2291.603744,1538.61422,4831.779729,8420.421537,160.2123855,123.4948593,242.0377602,1553.976292,1424.327756,788.5741146,1196.551619,7598.843549,5330.909598,5408.435508,8783.468546,8644.62018,5117.108417,20419.75153,17183.02878,958.7771051,2408.608578,2394.527287,533.309019,3731.850031,4304.841527,2029.476167,3985.999807,3332.357787,2583.732947,933.8697372,274.2682115
Subject02,lateral-shuffle-right,2531.485038,1704.150694,348.2077052,1905.140279,1795.915657,280.6847863,1120.028834,1200.824702,155.1528048,1232.964526,1313.785456,295.4652642,2386.80849,3072.733986,2640.457873,1968.310157,3993.177252,3152.406934,2085.405912,3956.530958,3074.66781,9430.246012,13148.03177,7778.163081,398.3397586,477.3166698,343.8928824,1645.752652,857.7975603,693.0183941,9089.132214,11641.31306,9445.198839,8343.410703,11861.91249,8615.834048,15605.26586,22414.48558,14755.00541,2406.470902,3953.635274,2787.124818,2304.177136,3476.112424,2392.864943,2690.767463,3993.70098,2123.168813,4012.351513,3986.222075,2119.93542
Subject02,curve-right-spin-Lfirst,256.846769,297.2476283,110.8561339,1764.329345,685.3959052,112.6318574,157.3065862,166.2361976,168.628552,496.9150186,241.3316539,253.8821031,620.1140718,1210.44229,1235.346607,126.7068159,416.0648869,1065.28635,336.7474807,468.3962317,2489.323983,520.9174701,3769.435995,6085.292754,149.2406928,160.2859164,173.7984109,148.6983434,402.5107603,2127.582769,1166.997294,1201.086194,5889.243343,1517.462784,3006.125104,11037.55286,2123.37823,4104.250555,16439.11194,356.4797968,659.9192189,1278.774115,171.2017686,255.8621212,1395.555491,619.7566594,278.3079262,1374.816093,308.2271755,1417.740848,613.9288301
Subject02,v-cut-right-Lfirst,1233.883045,1453.285805,911.1175677,1429.241562,1736.450562,1554.304045,1036.908899,957.7754801,170.5512482,502.0356568,749.1101389,537.9923827,1123.144206,1632.836603,2911.494671,361.2442775,3568.805643,3468.517024,680.908047,4245.678597,5737.044685,2441.924939,4263.310115,10543.20301,160.8099319,298.9046264,233.7912435,785.6319208,2144.377205,2625.860594,3039.853819,4503.155787,7062.883434,2470.178546,12638.45354,14114.26087,9679.403999,12853.07266,15544.14127,611.1199486,2181.517109,2191.474752,492.2904779,3027.509668,4617.92811,760.0313906,4830.266768,3544.227244,10151.38246,2326.930583,1112.034117
Subject02,stair-down,1568.773055,1304.985835,231.5251674,682.0184839,572.6837761,629.1146355,940.0024211,740.0143891,548.9604648,1025.681957,753.7318119,412.2992588,1344.190457,1759.147736,1930.279814,3074.244019,3322.866161,2709.830955,3490.625139,3700.908927,3033.033056,5548.794076,5985.091147,5537.973171,406.4405998,508.3939116,368.3732499,3235.159981,3345.339185,2801.292421,4369.746202,5384.352284,6160.349948,12906.94339,12933.6904,10631.18507,9655.84019,14966.76882,15823.1433,1588.211295,1904.713186,1744.730622,3861.813887,4390.915862,3757.823824,2543.612883,2475.799095,2598.818168,3295.202983,3692.06304,1518.511785
Subject02,v-cut-left-Rfirst,2583.339148,574.9446117,555.601395,2038.754909,250.4505654,697.743597,1020.649359,166.2023993,152.9123355,689.542149,190.2056961,285.8058166,1638.207657,2211.222184,1168.218911,1440.408082,4570.13487,301.6633936,1737.057933,4083.994659,1369.05104,6320.06369,8675.607074,2018.669093,145.9374915,338.6404598,182.5370861,1370.366862,1148.13903,295.7498705,4354.289325,8634.228659,3227.755522,9689.028238,10871.67224,4182.117543,10551.39259,16368.25525,13106.96788,1254.737968,3417.077626,758.7624766,1248.145401,4122.983964,188.7235193,1481.866478,5152.975457,946.9014325,4420.613482,1794.155401,1031.366434
