"","Subject","Datafile","Label"
"1","Subject01","Subject01/Subject01_Aufnahme000.csv","curve-right-step"
"2","Subject01","Subject01/Subject01_Aufnahme001.csv","curve-right-spin-Lfirst"
"3","Subject01","Subject01/Subject01_Aufnahme002.csv","curve-left-spin-Lfirst"
"4","Subject01","Subject01/Subject01_Aufnahme003.csv","stand-to-sit"
"5","Subject01","Subject01/Subject01_Aufnahme004.csv","stair-down"
"6","Subject01","Subject01/Subject01_Aufnahme005.csv","v-cut-right-Lfirst"
"7","Subject01","Subject01/Subject01_Aufnahme006.csv","lateral-shuffle-right"
"8","Subject01","Subject01/Subject01_Aufnahme007.csv","sit"
"9","Subject01","Subject01/Subject01_Aufnahme008.csv","curve-right-spin-Lfirst"
"10","Subject01","Subject01/Subject01_Aufnahme009.csv","stair-up"
"11","Subject01","Subject01/Subject01_Aufnahme010.csv","v-cut-left-Lfirst"
"12","Subject01","Subject01/Subject01_Aufnahme011.csv","jump-two-leg"
"13","Subject01","Subject01/Subject01_Aufnahme012.csv","stand-to-sit"
"14","Subject01","Subject01/Subject01_Aufnahme013.csv","lateral-shuffle-right"
"15","Subject01","Subject01/Subject01_Aufnahme014.csv","v-cut-right-Rfirst"
"16","Subject01","Subject01/Subject01_Aufnahme015.csv","v-cut-right-Rfirst"
"17","Subject01","Subject01/Subject01_Aufnahme016.csv","run"
"18","Subject01","Subject01/Subject01_Aufnahme017.csv","sit-to-stand"
"19","Subject01","Subject01/Subject01_Aufnahme018.csv","jump-two-leg"
"20","Subject01","Subject01/Subject01_Aufnahme019.csv","curve-left-spin-Lfirst"
"21","Subject01","Subject01/Subject01_Aufnahme020.csv","curve-right-spin-Rfirst"
"22","Subject01","Subject01/Subject01_Aufnahme021.csv","stair-down"
"23","Subject01","Subject01/Subject01_Aufnahme022.csv","sit"
"24","Subject01","Subject01/Subject01_Aufnahme023.csv","stand-to-sit"
"25","Subject01","Subject01/Subject01_Aufnahme024.csv","stand-to-sit"
"26","Subject01","Subject01/Subject01_Aufnahme025.csv","sit"
"27","Subject01","Subject01/Subject01_Aufnahme026.csv","curve-right-spin-Lfirst"
"28","Subject01","Subject01/Subject01_Aufnahme027.csv","stair-up"
"29","Subject01","Subject01/Subject01_Aufnahme028.csv","sit"
"30","Subject01","Subject01/Subject01_Aufnahme029.csv","stair-up"
"31","Subject01","Subject01/Subject01_Aufnahme030.csv","v-cut-left-Rfirst"
"32","Subject01","Subject01/Subject01_Aufnahme031.csv","curve-right-spin-Lfirst"
"33","Subject01","Subject01/Subject01_Aufnahme032.csv","curve-left-step"
"34","Subject01","Subject01/Subject01_Aufnahme033.csv","v-cut-right-Rfirst"
"35","Subject01","Subject01/Subject01_Aufnahme034.csv","curve-right-step"
"36","Subject01","Subject01/Subject01_Aufnahme035.csv","jump-two-leg"
"37","Subject01","Subject01/Subject01_Aufnahme036.csv","curve-left-step"
"38","Subject01","Subject01/Subject01_Aufnahme037.csv","v-cut-right-Lfirst"
"39","Subject01","Subject01/Subject01_Aufnahme038.csv","lateral-shuffle-left"
"40","Subject01","Subject01/Subject01_Aufnahme039.csv","run"
"41","Subject01","Subject01/Subject01_Aufnahme040.csv","curve-right-step"
"42","Subject01","Subject01/Subject01_Aufnahme041.csv","stair-up"
"43","Subject01","Subject01/Subject01_Aufnahme042.csv","jump-two-leg"
"44","Subject01","Subject01/Subject01_Aufnahme043.csv","v-cut-right-Rfirst"
"45","Subject01","Subject01/Subject01_Aufnahme044.csv","sit-to-stand"
"46","Subject01","Subject01/Subject01_Aufnahme045.csv","stair-down"
"47","Subject01","Subject01/Subject01_Aufnahme046.csv","jump-two-leg"
