,Label,mean_1,mean_2,mean_3,mean_4,median_1,median_2,median_3,median_4,sd_1,sd_2,sd_3,sd_4,min_1,min_2,min_3,min_4,max_1,max_2,max_3,max_4
2,curve-left-step,35317.66595,34936.59871,35003.58363,35317.66595,35076,34624,34596,35076,1408.885371,1807.389749,1796.348372,1408.885371,32216,29760,30296,32216,39172,39517,39488,39172
3,stand-to-sit,34854.91808,35590.47531,35908.49074,34854.91808,34896,35592,35928,34896,340.2085107,674.9910774,479.9214225,340.2085107,33820,34256,35100,33820,35676,37028,37077,35676
4,curve-right-spin-Rfirst,34982.31429,34368.37077,34175.2656,34982.31429,34578.5,34264,34076,34578.5,919.8637204,1219.133157,414.9300316,919.8637204,33948,31714,33508,33948,37284,36652,35756,37284
5,jump-one-leg,34579.52632,37026.03934,33473.49508,34579.52632,34570,38588,33681,34570,1207.166589,4099.059645,1781.94566,1207.166589,32725,28718,28718,32725,36964,41548,38480,36964
6,lateral-shuffle-right,35448.15507,36010.79727,35728.85649,35448.15507,34952,36225,35300,34952,1866.298118,4125.3063,3598.290752,1866.298118,26880,17968,29188,26880,38920,48976,48976,38920
7,curve-right-spin-Lfirst,34877.75052,34471.50209,35636.38494,34877.75052,34710,34716,34860,34710,441.1249783,538.8364075,1423.65971,441.1249783,34176,33528,34360,34176,35652,35190,38832,35652
8,v-cut-right-Lfirst,35417.38136,35875.70423,37963.45915,35417.38136,35616,36712,39496,35616,658.4221493,3799.737206,4663.677549,658.4221493,34312,27361,28456,34312,36528,40276,44476,36528
9,stair-down,35850.66925,36096.75871,36070.63355,35850.66925,35112,35944,36104,35112,2227.224091,2824.60481,2433.502775,2227.224091,32138,27192,29730,32138,42372,42440,42184,42372
10,v-cut-left-Rfirst,35644.15686,35129.17318,35994.06704,35644.15686,35904,34904,34980,35904,1665.750517,5237.172224,3224.266284,1665.750517,31780,17077,32108,31780,37624,52084,45413,37624
11,v-cut-right-Rfirst,34992.68605,33411.05507,35992.9971,34992.68605,35076,34236,35476,35076,459.8755127,4138.476281,3518.479079,459.8755127,33953,12896,31316,33953,35873,39016,45544,35873
